player_id,injury_index
234807,2
329714,2
424019,2
341761,2
1059814,4
268429,3
288499,2
392133,2
695634,1
357796,2
308045,2
691892,1
458405,1
393238,2
418464,4
321647,2
526874,1
486604,2
341501,2
129973,2
709985,4
82361,2
678088,3
320403,2
683268,2
723771,2
333159,2
623852,2
865300,2
314210,3
243225,2
491960,2
73522,3
435086,2
185405,2
728864,2
243770,2
569268,4
452560,2
189912,2
883122,1
169295,2
607914,2
448169,2
507341,1
24484,3
583038,1
300425,3
448983,2
536548,2
147485,3
217569,2
157501,3
136109,2
41384,3
482106,2
816585,1
1031854,2
396333,2
106014,4
324760,2
89658,2
749942,2
291415,3
514514,2
217686,3
461883,2
686329,2
74230,2
255469,2
307805,2
205760,2
565016,1
1041861,1
495438,4
391498,1
263801,3
606893,2
456146,2
84653,2
670710,2
660735,2
820381,2
1046583,2
807469,2
351983,2
559334,2
289651,3
567505,2
369267,2
960959,1
337066,4
335362,2
620174,1
411179,2
373876,3
848967,2
149579,3
169497,2
41335,2
737920,3
646782,1
320456,3
249413,2
52911,2
537127,1
440972,4
342048,2
671590,2
511793,2
273377,2
405786,2
632147,1
111038,3
223967,3
88049,3
131097,2
684998,2
141350,3
326500,2
965728,2
875337,2
469957,1
898333,4
215551,2
655901,2
279338,2
7825,2
611793,1
396908,3
340324,3
400429,3
147359,1
608407,2
128904,3
67221,3
280813,3
371004,2
863919,2
120976,2
287876,2
223973,3
80060,3
371436,3
148011,4
277384,2
59561,2
482141,3
692351,2
821442,2
187490,2
640556,2
1268037,2
729010,2
53622,3
344393,2
400083,2
730573,4
406603,2
444920,2
500308,2
124895,3
94880,3
569598,2
258023,4
428563,3
297212,3
95795,2
182823,2
593482,2
543499,1
221766,3
231105,3
1175926,4
929494,3
796221,1
181985,2
176341,2
126285,3
671682,3
738492,4
171721,2
546903,2
800946,2
147131,2
1172166,2
711628,2
485965,2
195628,2
365758,2
178277,2
532172,4
339896,2
614800,2
74294,3
118287,3
269793,2
292514,2
423666,2
315254,3
589225,4
833372,4
314965,2
444387,3
354737,2
914562,2
263727,2
633129,4
412930,4
875326,2
406296,2
600730,2
743416,4
128902,3
190687,2
829275,2
297709,2
85935,2
543382,3
434218,2
1086882,1
866082,2
225029,4
801357,1
926491,4
283735,3
608154,2
190190,2
45464,3
72578,2
935517,2
450958,1
129655,3
249543,3
652803,2
242940,2
383774,2
249952,2
570597,3
215977,3
126600,3
1005425,1
799547,1
331362,1
526032,2
255906,3
458047,2
88647,3
168063,2
643750,3
909349,2
296741,1
373187,2
226258,2
894157,2
293200,2
487691,2
591361,1
908791,3
203986,2
469781,3
204111,4
394020,2
72441,3
75816,2
806073,2
537598,2
495109,2
884068,1
395695,2
424045,3
383362,2
226049,2
336646,2
74641,3
372802,2
515650,2
45333,3
